timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
2.60;134.41;0;26129071#3_0;12.71;0.00;5.38;DEFAULT_VEHTYPE;-1.658185;42.807436
2.60;161.02;1;163498800#1_0;8.08;0.00;3.37;DEFAULT_VEHTYPE;-1.646027;42.813598
2.60;309.95;2;27710535#1_0;5.62;0.00;1.46;DEFAULT_VEHTYPE;-1.656148;42.807587
2.70;134.41;0;26129071#3_0;13.26;0.00;5.53;DEFAULT_VEHTYPE;-1.658180;42.807433
2.70;161.02;1;163498800#1_0;8.44;0.00;3.60;DEFAULT_VEHTYPE;-1.646025;42.813595
2.70;309.95;2;27710535#1_0;5.78;0.00;1.64;DEFAULT_VEHTYPE;-1.656150;42.807588
2.80;134.41;0;26129071#3_0;13.84;0.00;5.74;DEFAULT_VEHTYPE;-1.658175;42.807429
2.80;161.02;1;163498800#1_0;8.82;0.00;3.77;DEFAULT_VEHTYPE;-1.646024;42.813592
2.80;309.95;2;27710535#1_0;5.97;0.00;1.84;DEFAULT_VEHTYPE;-1.656152;42.807589
2.90;134.41;0;26129071#3_0;14.43;0.00;5.91;DEFAULT_VEHTYPE;-1.658170;42.807425
2.90;161.02;1;163498800#1_0;9.21;0.00;3.92;DEFAULT_VEHTYPE;-1.646022;42.813589
2.90;309.95;2;27710535#1_0;6.17;0.00;2.01;DEFAULT_VEHTYPE;-1.656153;42.807590
3.00;134.41;0;26129071#3_0;15.04;0.00;6.16;DEFAULT_VEHTYPE;-1.658165;42.807422
3.00;161.02;1;163498800#1_0;9.62;0.00;4.14;DEFAULT_VEHTYPE;-1.646021;42.813585
3.00;309.95;2;27710535#1_0;6.38;0.00;2.17;DEFAULT_VEHTYPE;-1.656155;42.807591
3.00;74.49;3;817341820#0_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;-1.641654;42.806515
3.10;134.41;0;26129071#3_0;15.68;0.00;6.41;DEFAULT_VEHTYPE;-1.658160;42.807417
3.10;161.02;1;163498800#1_0;10.06;0.00;4.39;DEFAULT_VEHTYPE;-1.646019;42.813581
3.10;309.95;2;27710535#1_0;6.62;0.00;2.33;DEFAULT_VEHTYPE;-1.656158;42.807592
3.10;74.49;3;817341820#0_0;5.13;0.00;0.25;DEFAULT_VEHTYPE;-1.641654;42.806515
3.20;134.41;0;26129071#3_0;16.34;0.00;6.55;DEFAULT_VEHTYPE;-1.658154;42.807413
3.20;161.02;1;163498800#1_0;10.52;0.00;4.52;DEFAULT_VEHTYPE;-1.646017;42.813577
3.20;309.95;2;27710535#1_0;6.87;0.00;2.57;DEFAULT_VEHTYPE;-1.656160;42.807594
3.20;74.49;3;817341820#0_0;5.18;0.00;0.51;DEFAULT_VEHTYPE;-1.641653;42.806515
3.30;134.41;0;26129071#3_0;17.02;0.00;6.76;DEFAULT_VEHTYPE;-1.658148;42.807409
3.30;161.02;1;163498800#1_0;10.99;0.00;4.78;DEFAULT_VEHTYPE;-1.646016;42.813573
3.30;309.95;2;27710535#1_0;7.15;0.00;2.79;DEFAULT_VEHTYPE;-1.656163;42.807596
3.30;74.49;3;817341820#0_0;5.25;0.00;0.73;DEFAULT_VEHTYPE;-1.641652;42.806515
3.40;134.41;0;26129071#3_0;17.70;0.00;6.89;DEFAULT_VEHTYPE;-1.658142;42.807404
3.40;161.02;1;163498800#1_0;11.49;0.00;4.98;DEFAULT_VEHTYPE;-1.646014;42.813569
3.40;309.95;2;27710535#1_0;7.45;0.00;2.99;DEFAULT_VEHTYPE;-1.656165;42.807597
3.40;74.49;3;817341820#0_0;5.34;0.00;0.94;DEFAULT_VEHTYPE;-1.641651;42.806515
3.50;134.41;0;26129071#3_0;18.42;0.00;7.14;DEFAULT_VEHTYPE;-1.658136;42.807400
3.50;161.02;1;163498800#1_0;12.00;0.00;5.12;DEFAULT_VEHTYPE;-1.646012;42.813565
3.50;309.95;2;27710535#1_0;7.77;0.00;3.17;DEFAULT_VEHTYPE;-1.656168;42.807599
3.50;74.49;3;817341820#0_0;5.46;0.00;1.20;DEFAULT_VEHTYPE;-1.641650;42.806516
3.60;134.41;0;26129071#3_0;19.16;0.00;7.39;DEFAULT_VEHTYPE;-1.658130;42.807395
3.60;161.02;1;163498800#1_0;12.53;0.00;5.29;DEFAULT_VEHTYPE;-1.646010;42.813560
3.60;309.95;2;27710535#1_0;8.11;0.00;3.43;DEFAULT_VEHTYPE;-1.656171;42.807601
3.60;74.49;3;817341820#0_0;5.61;0.00;1.46;DEFAULT_VEHTYPE;-1.641648;42.806516
3.70;134.41;0;26129071#3_0;19.92;0.00;7.64;DEFAULT_VEHTYPE;-1.658123;42.807390
3.70;161.02;1;163498800#1_0;13.08;0.00;5.46;DEFAULT_VEHTYPE;-1.646008;42.813555
3.70;309.95;2;27710535#1_0;8.47;0.00;3.59;DEFAULT_VEHTYPE;-1.656175;42.807603
3.70;74.49;3;817341820#0_0;5.78;0.00;1.68;DEFAULT_VEHTYPE;-1.641646;42.806516
3.80;134.41;0;26129071#3_0;20.71;0.00;7.90;DEFAULT_VEHTYPE;-1.658116;42.807385
3.80;161.02;1;163498800#1_0;13.64;0.00;5.64;DEFAULT_VEHTYPE;-1.646006;42.813551
3.80;309.95;2;27710535#1_0;8.85;0.00;3.76;DEFAULT_VEHTYPE;-1.656178;42.807606
3.80;74.49;3;817341820#0_0;5.96;0.00;1.87;DEFAULT_VEHTYPE;-1.641644;42.806517
3.90;134.41;0;26129071#3_0;21.52;0.00;8.13;DEFAULT_VEHTYPE;-1.658109;42.807380
3.90;161.02;1;163498800#1_0;14.22;0.00;5.82;DEFAULT_VEHTYPE;-1.646003;42.813546
3.90;309.95;2;27710535#1_0;9.25;0.00;3.98;DEFAULT_VEHTYPE;-1.656182;42.807608
3.90;74.49;3;817341820#0_0;6.17;0.00;2.03;DEFAULT_VEHTYPE;-1.641641;42.806517
4.00;134.41;0;26129071#3_0;22.36;0.00;8.37;DEFAULT_VEHTYPE;-1.658102;42.807375
4.00;161.02;1;163498800#1_0;14.83;0.00;6.00;DEFAULT_VEHTYPE;-1.646001;42.813540
4.00;309.95;2;27710535#1_0;9.66;0.00;4.14;DEFAULT_VEHTYPE;-1.656186;42.807610
4.00;74.49;3;817341820#0_0;6.39;0.00;2.26;DEFAULT_VEHTYPE;-1.641639;42.806518
4.00;112.66;4;189609904#1_0;5.10;0.00;0.00;DEFAULT_VEHTYPE;-1.652510;42.808687
4.10;134.41;0;26129071#3_0;23.22;0.00;8.55;DEFAULT_VEHTYPE;-1.658095;42.807369
4.10;161.02;1;163498800#1_0;15.45;0.00;6.24;DEFAULT_VEHTYPE;-1.645999;42.813535
4.10;309.95;2;27710535#1_0;10.09;0.00;4.33;DEFAULT_VEHTYPE;-1.656190;42.807613
4.10;74.49;3;817341820#0_0;6.64;0.00;2.50;DEFAULT_VEHTYPE;-1.641636;42.806518
4.10;112.66;4;189609904#1_0;5.13;0.00;0.26;DEFAULT_VEHTYPE;-1.652509;42.808687
4.20;134.41;0;26129071#3_0;24.09;0.00;8.78;DEFAULT_VEHTYPE;-1.658087;42.807364
4.20;161.02;1;163498800#1_0;16.09;0.00;6.38;DEFAULT_VEHTYPE;-1.645996;42.813530
4.20;309.95;2;27710535#1_0;10.54;0.00;4.47;DEFAULT_VEHTYPE;-1.656194;42.807616
4.20;74.49;3;817341820#0_0;6.91;0.00;2.66;DEFAULT_VEHTYPE;-1.641632;42.806519
4.20;112.66;4;189609904#1_0;5.18;0.00;0.51;DEFAULT_VEHTYPE;-1.652509;42.808687
4.30;134.41;0;26129071#3_0;24.98;0.00;8.82;DEFAULT_VEHTYPE;-1.658080;42.807358
4.30;161.02;1;163498800#1_0;16.74;0.00;6.54;DEFAULT_VEHTYPE;-1.645994;42.813524
4.30;309.95;2;27710535#1_0;11.00;0.00;4.61;DEFAULT_VEHTYPE;-1.656198;42.807618
4.30;74.49;3;817341820#0_0;7.19;0.00;2.86;DEFAULT_VEHTYPE;-1.641629;42.806520
4.30;112.66;4;189609904#1_0;5.25;0.00;0.77;DEFAULT_VEHTYPE;-1.652508;42.808686
4.40;134.41;0;26129071#3_0;25.85;0.00;8.71;DEFAULT_VEHTYPE;-1.658072;42.807352
4.40;161.02;1;163498800#1_0;17.42;0.00;6.75;DEFAULT_VEHTYPE;-1.645991;42.813518
4.40;309.95;2;27710535#1_0;11.48;0.00;4.77;DEFAULT_VEHTYPE;-1.656202;42.807621
4.40;74.49;3;817341820#0_0;7.50;0.00;3.06;DEFAULT_VEHTYPE;-1.641625;42.806520
4.40;112.66;4;189609904#1_0;5.35;0.00;1.01;DEFAULT_VEHTYPE;-1.652507;42.808686
4.50;134.41;0;26129071#3_0;26.73;0.00;8.79;DEFAULT_VEHTYPE;-1.658065;42.807347
4.50;161.02;1;163498800#1_0;18.11;0.00;6.99;DEFAULT_VEHTYPE;-1.645989;42.813512
4.50;309.95;2;27710535#1_0;11.97;0.00;4.97;DEFAULT_VEHTYPE;-1.656207;42.807624
4.50;74.49;3;817341820#0_0;7.83;0.00;3.29;DEFAULT_VEHTYPE;-1.641622;42.806521
4.50;112.66;4;189609904#1_0;5.48;0.00;1.24;DEFAULT_VEHTYPE;-1.652505;42.808685
4.60;134.41;0;26129071#3_0;27.60;0.00;8.71;DEFAULT_VEHTYPE;-1.658057;42.807341
